标题,里程,日期,地区,会员,原价,现价,过户情况
宝马X5(进口) 2015款 xDrive28i,9.9万公里,2016-01,金华,6年黄金会员,36.50,82.28万,新上架-0次过户
宝马5系GT 2011款 535i xDrive豪华型,10万公里,2012-04,温州,4年黄金会员,13.50,106.59万,0次过户
宝马7系 2009款 730Li豪华型,17万公里,2010-06,温州,4年黄金会员,10.58,110.50万,0次过户
宝马5系GT 2014款 528i 领先型,17.1万公里,2015-12,杭州,2年黄金会员,17.98,74.68万,无
宝马M4 2019款 M4双门轿跑车猎影版,2.3万公里,2019-07,杭州,7年黄金会员,57.80,94.43万,无
宝马3系 2019款 320Li 时尚型,8.1万公里,2018-12,湖州,1年黄金会员,18.98,34.39万,无
宝马2系 2015款 220i 敞篷轿跑车 M运动型,4万公里,2016-04,温州,1年黄金会员,18.98,34.39万,无
宝马M4 2017款 M4敞篷轿跑车,3万公里,2019-06,温州,1年黄金会员,18.98,34.39万,无
宝马X4 2016款 xDrive20i M运动型,8万公里,2017-08,温州,1年黄金会员,18.98,34.39万,无
宝马4系 2014款 420i Gran Coupe 时尚型,3万公里,2014-09,温州,1年黄金会员,18.98,34.39万,无
宝马7系 2013款 740Li 豪华型,8万公里,2014-11,温州,1年黄金会员,18.98,34.39万,无
宝马X3 2018款 xDrive28i M运动套装 国VI,6.9万公里,2019-04,绍兴,5年黄金会员,27.88,46.22万,0次过户
宝马5系 2013款 525Li 豪华型,15万公里,2013-05,绍兴,5年黄金会员,13.88,53.69万,0次过户
宝马iX3 2021款 改款 领先型,0.6万公里,2021-10,温州,5年黄金会员,13.88,53.69万,0次过户
宝马iX3 2021款 改款 领先型,0.6万公里,2021-10,温州,5年黄金会员,13.88,53.69万,0次过户
宝马X1 2021款 sDrive20Li 时尚型,3万公里,2021-01,嘉兴,2年黄金会员,18.50,30.37万,原厂质保
宝马X1 2016款 sDrive20Li 豪华型,7.9万公里,2016-11,嘉兴,2年黄金会员,15.30,37.45万,无
宝马3系 2016款 320Li 豪华设计套装,6.2万公里,2015-12,嘉兴,2年黄金会员,15.28,42.75万,无
宝马X3 2020款  xDrive28i M运动套装,5.7万公里,2019-12,嘉兴,2年黄金会员,29.80,46.22万,无
宝马3系 2017款 320Li 时尚型,3.3万公里,2017-04,嘉兴,2年黄金会员,17.88,35.38万,无
宝马2系多功能旅行车 2018款 220i 领先型,4.8万公里,2019-03,杭州,1年黄金会员,12.88,28.63万,无
宝马X1 2020款 sDrive25Li 领先型,9万公里,2020-09,绍兴,5年黄金会员,18.18,33.63万,0次过户-原厂质保
宝马2系多功能旅行车 2015款 218i 领先型,7.5万公里,2018-02,杭州,1年黄金会员,10.80,29.29万,无
宝马1系 2018款 118i 运动型,7.3万公里,2018-06,温州,7年黄金会员,11.50,24.51万,新上架-0次过户
宝马X5(进口) 2013款 xDrive35i 领先型,12万公里,2013-03,温州,5年黄金会员,,已降6000元,无
宝马3系 2018款 320Li 时尚型,7万公里,2017-12,丽水,2年会员,16.88,35.15万,0次过户
宝马X3(进口) 2013款 xDrive20i 豪华型,14.01万公里,2014-01,温州,7年黄金会员,15.50,54.17万,0次过户
宝马X3(进口) 2016款 sDrive20i,8万公里,2017-08,温州,7年黄金会员,19.20,45.70万,0次过户
宝马X1 2019款 sDrive20Li 领先型,5.6万公里,2019-01,温州,7年黄金会员,18.80,33.63万,0次过户
宝马5系 2013款 525Li 领先型,9万公里,2013-01,温州,7年黄金会员,14.60,49.89万,0次过户
宝马3系 2021款 325Li M运动套装,3万公里,2021-03,丽水,3年黄金会员,27.98,37.66万,准新车-0次过户
宝马X5(进口) 2021款 xDrive30i X设计套装,2.8万公里,2021-01,丽水,3年黄金会员,58.98,75.97万,0次过户-原厂质保
宝马X1 2021款 sDrive25Li 领先型,2万公里,2021-03,丽水,3年黄金会员,21.68,33.63万,准新车-0次过户
宝马3系 2009款 325i 豪华型,12万公里,2010-01,温州,1年黄金会员,,已降1000元,无
宝马X3 2019款 xDrive25i M运动套装,6万公里,2019-04,丽水,2年会员,27.88,42.31万,新上架-0次过户
宝马6系 2007款 630i双门轿跑车,11万公里,2010-02,温州,5年黄金会员,,已降5000元,无
宝马7系 2013款 730Li 领先型,13.1万公里,2014-03,温州,4年黄金会员,20.80,101.33万,0次过户
宝马X1 2021款 xDrive25Li 尊享型,0.3万公里,2021-10,丽水,2年黄金会员,22.98,36.88万,准新车-0次过户
宝马4系 2014款 420i 时尚型,9.4万公里,2015-02,丽水,2年黄金会员,16.88,52.97万,0次过户
宝马5系 2019款 530Li 领先型 M运动套装,7.9万公里,2019-05,丽水,2年黄金会员,31.88,50.36万,0次过户
宝马X3 2018款 xDrive25i M运动套装 国V,8.81万公里,2018-10,衢州,3年黄金会员,24.90,43.40万,无
宝马5系新能源 2022款 535Le M运动套装,0.4万公里,2021-11,丽水,3年黄金会员,36.50,54.26万,准新车-0次过户
宝马5系 2018款 530Li 领先型 豪华套装,10万公里,2017-12,湖州,1年黄金会员,27.50,51.98万,0次过户
宝马1系 2022款 125i M运动曜夜版,0.28万公里,2021-12,丽水,3年黄金会员,16.98,26.79万,准新车-0次过户
宝马5系(进口) 2021款 525i M运动套装,3万公里,2021-02,丽水,3年黄金会员,34.50,46.01万,准新车-原厂质保
宝马X1 2018款 sDrive18Li 时尚型,5.2万公里,2017-01,丽水,3年黄金会员,13.50,30.81万,0次过户
宝马5系 2013款 520Li 典雅型,13万公里,2013-03,金华,4年黄金会员,12.80,46.52万,0次过户
宝马5系 2018款 530Li 尊享型 M运动套装,8.5万公里,2017-11,宁波,4年会员,28.80,56.98万,新上架-0次过户
宝马5系 2021款 525Li M运动套装,1.8万公里,2021-01,宁波,4年会员,33.80,46.34万,0次过户-原厂质保
宝马5系 2018款 530Li 领先型 M运动套装,8.3万公里,2017-10,宁波,4年会员,25.98,51.98万,0次过户
宝马X1 2014款 sDrive18i 时尚型,8.2万公里,2015-04,宁波,4年会员,25.98,51.98万,0次过户
宝马3系 2018款 330Li xDrive 豪华套装,5万公里,2019-02,宁波,4年会员,25.98,51.98万,0次过户
宝马X5(进口) 2021款 xDrive40i M运动套装,4万公里,2021-11,宁波,4年会员,25.98,51.98万,0次过户
宝马5系 2018款 改款 530Li 尊享型 M运动套装,4.38万公里,2018-06,宁波,4年会员,25.98,51.98万,0次过户
宝马5系 2013款 535Li 领先型,8万公里,2012-09,温州,4年黄金会员,13.98,69.43万,新上架-0次过户
宝马6系GT 2021款 630i M运动套装,3万公里,2021-02,杭州,1年会员,50.98,68.27万,准新车-0次过户
宝马X3(进口) 2016款 sDrive20i,8.1万公里,2017-09,宁波,1年会员,50.98,68.27万,准新车-0次过户
宝马7系 2019款 730Li M运动套装,3.2万公里,2020-12,宁波,4年会员,52.80,89.88万,0次过户-原厂质保
宝马7系 2011款 730Li典雅型,9.2万公里,2012-06,温州,4年会员,52.80,89.88万,0次过户-原厂质保
宝马5系GT 2010款 535i 领先型,15万公里,2010-04,温州,5年黄金会员,,已降4000元,无
宝马3系 2016款 320Li 时尚型,7万公里,2016-06,温州,4年黄金会员,12.98,37.97万,新上架-0次过户
宝马1系 2021款 改款 120i M运动曜夜版,0.6万公里,2021-11,丽水,2年黄金会员,14.88,24.62万,新上架-准新车
宝马5系 2017款 528Li 领先型,5.6万公里,2017-04,宁波,1年黄金会员,23.58,59.77万,新上架-0次过户
宝马3系 2017款 320Li 时尚型,7.32万公里,2017-06,宁波,1年黄金会员,17.38,35.38万,新上架-0次过户
宝马2系 2019款 225i 尊享型 M运动套装,6.8万公里,2019-07,杭州,5年黑金会员,18.80,31.89万,新上架-0次过户
宝马3系 2022款 325Li xDrive M运动套装,0.01万公里,未上牌,湖州,3年黄金会员,33.30,39.11万,新上架-准新车
宝马4系 2021款 425i M运动套装,1.48万公里,2021-06,杭州,2年黄金会员,37.50,39.49万,无
宝马iX3 2021款 创领型,0.18万公里,未上牌,湖州,3年黄金会员,34.60,47.75万,新上架-准新车
宝马X5(进口) 2020款 xDrive40i 尊享型 M运动套装,2万公里,2020-09,杭州,3年黄金会员,68.50,92.25万,新上架-原厂质保
宝马4系 2022款 430i Gran Coupe M运动曜夜套装,0.01万公里,未上牌,湖州,3年黄金会员,51.80,51.66万,新上架-准新车
宝马6系GT 2020款 630i 豪华设计套装,3.67万公里,2020-06,湖州,3年黄金会员,42.60,63.38万,新上架-4S店直卖
宝马X1 2021款 sDrive20Li 时尚型,3万公里,2021-01,嘉兴,2年黄金会员,18.50,30.37万,原厂质保
宝马X1 2016款 sDrive20Li 豪华型,7.9万公里,2016-11,嘉兴,2年黄金会员,15.30,37.45万,无
宝马3系 2016款 320Li 豪华设计套装,6.2万公里,2015-12,嘉兴,2年黄金会员,15.28,42.75万,无
宝马X3 2020款  xDrive28i M运动套装,5.7万公里,2019-12,嘉兴,2年黄金会员,29.80,46.22万,无
宝马3系 2017款 320Li 时尚型,3.3万公里,2017-04,嘉兴,2年黄金会员,17.88,35.38万,无
宝马2系多功能旅行车 2018款 220i 领先型,4.8万公里,2019-03,杭州,1年黄金会员,12.88,28.63万,无
宝马X1 2020款 sDrive25Li 领先型,9万公里,2020-09,绍兴,5年黄金会员,18.18,33.63万,0次过户-原厂质保
宝马2系多功能旅行车 2015款 218i 领先型,7.5万公里,2018-02,杭州,1年黄金会员,10.80,29.29万,无
宝马1系 2018款 118i 运动型,7.3万公里,2018-06,温州,7年黄金会员,11.50,24.51万,新上架-0次过户
宝马X5(进口) 2013款 xDrive35i 领先型,12万公里,2013-03,温州,5年黄金会员,,已降6000元,无
宝马3系 2018款 320Li 时尚型,7万公里,2017-12,丽水,2年会员,16.88,35.15万,0次过户
宝马X3(进口) 2013款 xDrive20i 豪华型,14.01万公里,2014-01,温州,7年黄金会员,15.50,54.17万,0次过户
宝马X3(进口) 2016款 sDrive20i,8万公里,2017-08,温州,7年黄金会员,19.20,45.70万,0次过户
宝马X1 2019款 sDrive20Li 领先型,5.6万公里,2019-01,温州,7年黄金会员,18.80,33.63万,0次过户
宝马5系 2013款 525Li 领先型,9万公里,2013-01,温州,7年黄金会员,14.60,49.89万,0次过户
宝马3系 2021款 325Li M运动套装,3万公里,2021-03,丽水,3年黄金会员,27.98,37.66万,准新车-0次过户
宝马X5(进口) 2021款 xDrive30i X设计套装,2.8万公里,2021-01,丽水,3年黄金会员,58.98,75.97万,0次过户-原厂质保
宝马X1 2021款 sDrive25Li 领先型,2万公里,2021-03,丽水,3年黄金会员,21.68,33.63万,准新车-0次过户
宝马3系 2009款 325i 豪华型,12万公里,2010-01,温州,1年黄金会员,,已降1000元,无
宝马X3 2019款 xDrive25i M运动套装,6万公里,2019-04,丽水,2年会员,27.88,42.31万,新上架-0次过户
宝马6系 2007款 630i双门轿跑车,11万公里,2010-02,温州,5年黄金会员,,已降5000元,无
宝马7系 2013款 730Li 领先型,13.1万公里,2014-03,温州,4年黄金会员,20.80,101.33万,0次过户
宝马X1 2021款 xDrive25Li 尊享型,0.3万公里,2021-10,丽水,2年黄金会员,22.98,36.88万,准新车-0次过户
宝马4系 2014款 420i 时尚型,9.4万公里,2015-02,丽水,2年黄金会员,16.88,52.97万,0次过户
宝马5系 2019款 530Li 领先型 M运动套装,7.9万公里,2019-05,丽水,2年黄金会员,31.88,50.36万,0次过户
宝马X3 2018款 xDrive25i M运动套装 国V,8.81万公里,2018-10,衢州,3年黄金会员,24.90,43.40万,无
宝马5系新能源 2022款 535Le M运动套装,0.4万公里,2021-11,丽水,3年黄金会员,36.50,54.26万,准新车-0次过户
宝马5系 2018款 530Li 领先型 豪华套装,10万公里,2017-12,湖州,1年黄金会员,27.50,51.98万,0次过户
宝马1系 2022款 125i M运动曜夜版,0.28万公里,2021-12,丽水,3年黄金会员,16.98,26.79万,准新车-0次过户
宝马5系(进口) 2021款 525i M运动套装,3万公里,2021-02,丽水,3年黄金会员,34.50,46.01万,准新车-原厂质保
宝马X1 2018款 sDrive18Li 时尚型,5.2万公里,2017-01,丽水,3年黄金会员,13.50,30.81万,0次过户
宝马5系 2013款 520Li 典雅型,13万公里,2013-03,金华,4年黄金会员,12.80,46.52万,0次过户
宝马5系 2018款 530Li 尊享型 M运动套装,8.5万公里,2017-11,宁波,4年会员,28.80,56.98万,新上架-0次过户
宝马5系 2021款 525Li M运动套装,1.8万公里,2021-01,宁波,4年会员,33.80,46.34万,0次过户-原厂质保
宝马5系 2018款 530Li 领先型 M运动套装,8.3万公里,2017-10,宁波,4年会员,25.98,51.98万,0次过户
宝马X1 2014款 sDrive18i 时尚型,8.2万公里,2015-04,宁波,4年会员,25.98,51.98万,0次过户
宝马3系 2018款 330Li xDrive 豪华套装,5万公里,2019-02,宁波,4年会员,25.98,51.98万,0次过户
宝马X5(进口) 2021款 xDrive40i M运动套装,4万公里,2021-11,宁波,4年会员,25.98,51.98万,0次过户
宝马5系 2018款 改款 530Li 尊享型 M运动套装,4.38万公里,2018-06,宁波,4年会员,25.98,51.98万,0次过户
宝马5系 2013款 535Li 领先型,8万公里,2012-09,温州,4年黄金会员,13.98,69.43万,新上架-0次过户
宝马6系GT 2021款 630i M运动套装,3万公里,2021-02,杭州,1年会员,50.98,68.27万,准新车-0次过户
宝马X3(进口) 2016款 sDrive20i,8.1万公里,2017-09,宁波,1年会员,50.98,68.27万,准新车-0次过户
宝马7系 2019款 730Li M运动套装,3.2万公里,2020-12,宁波,4年会员,52.80,89.88万,0次过户-原厂质保
宝马7系 2011款 730Li典雅型,9.2万公里,2012-06,温州,4年会员,52.80,89.88万,0次过户-原厂质保
宝马5系GT 2010款 535i 领先型,15万公里,2010-04,温州,5年黄金会员,,已降4000元,无
宝马3系 2016款 320Li 时尚型,7万公里,2016-06,温州,4年黄金会员,12.98,37.97万,新上架-0次过户
宝马1系 2021款 改款 120i M运动曜夜版,0.6万公里,2021-11,丽水,2年黄金会员,14.88,24.62万,新上架-准新车
宝马5系 2017款 528Li 领先型,5.6万公里,2017-04,宁波,1年黄金会员,23.58,59.77万,新上架-0次过户
宝马3系 2017款 320Li 时尚型,7.32万公里,2017-06,宁波,1年黄金会员,17.38,35.38万,新上架-0次过户
宝马2系 2019款 225i 尊享型 M运动套装,6.8万公里,2019-07,杭州,5年黑金会员,18.80,31.89万,新上架-0次过户
宝马3系 2022款 325Li xDrive M运动套装,0.01万公里,未上牌,湖州,3年黄金会员,33.30,39.11万,新上架-准新车
宝马4系 2021款 425i M运动套装,1.48万公里,2021-06,杭州,2年黄金会员,37.50,39.49万,无
宝马iX3 2021款 创领型,0.18万公里,未上牌,湖州,3年黄金会员,34.60,47.75万,新上架-准新车
宝马X5(进口) 2020款 xDrive40i 尊享型 M运动套装,2万公里,2020-09,杭州,3年黄金会员,68.50,92.25万,新上架-原厂质保
宝马4系 2022款 430i Gran Coupe M运动曜夜套装,0.01万公里,未上牌,湖州,3年黄金会员,51.80,51.66万,新上架-准新车
宝马6系GT 2020款 630i 豪华设计套装,3.67万公里,2020-06,湖州,3年黄金会员,42.60,63.38万,新上架-4S店直卖
宝马3系 2014款 320i 时尚型,12.5万公里,2014-02,杭州,6年钻石会员,11.88,37.23万,新上架-0次过户
宝马3系 2021款 325i M运动曜夜套装,2.2万公里,2021-03,杭州,6年钻石会员,30.50,36.03万,新上架-准新车
宝马3系 2021款 改款 330i M运动曜夜套装,1.4万公里,2021-06,杭州,6年钻石会员,34.80,41.24万,新上架-准新车
宝马5系新能源 2015款 530Le,7.8万公里,2015-10,杭州,6年钻石会员,20.98,75.83万,新上架-0次过户
宝马2系 2018款 220i 运动设计套装,8.4万公里,2018-04,杭州,6年钻石会员,14.80,27.12万,新上架-4S店直卖
宝马3系 2021款 320Li M运动套装,1.3万公里,2021-01,杭州,6年钻石会员,27.88,34.62万,新上架-4S店直卖
宝马iX3 2021款 改款 领先型,2万公里,2021-06,杭州,6年钻石会员,26.80,43.41万,新上架-准新车
宝马X2 2021款 改款 xDrive25i 曜夜版,0.28万公里,2021-12,杭州,6年钻石会员,21.98,35.15万,新上架-准新车
宝马X1 2021款 改款 xDrive25Li 尊享型,0.36万公里,2021-12,杭州,6年钻石会员,23.98,36.88万,新上架-准新车
宝马4系 2017款 425i M运动套装,1.5万公里,2019-01,杭州,6年钻石会员,24.98,39.06万,新上架-4S店直卖
宝马Z4 2019款 sDrive 25i M运动曜夜套装,1.8万公里,2019-12,杭州,6年钻石会员,38.88,55.23万,新上架-4S店直卖
宝马3系 2019款 320Li M运动曜夜版,5.7万公里,2018-12,杭州,6年钻石会员,21.50,39.06万,新上架-4S店直卖
宝马3系 2021款 改款 325Li M运动套装,2.5万公里,2021-03,杭州,6年钻石会员,29.80,37.66万,新上架-准新车
宝马3系 2018款 318Li,7.2万公里,2018-09,杭州,6年钻石会员,14.98,33.63万,新上架-4S店直卖
宝马3系 2021款 改款 325Li M运动曜夜套装,1.7万公里,2021-03,杭州,6年钻石会员,32.50,39.72万,新上架-准新车
宝马3系 2023款 325i M运动曜夜套装,0.02万公里,未上牌,杭州,6年钻石会员,31.58,36.90万,新上架-准新车
宝马3系 2023款 325i M运动套装,0.01万公里,未上牌,杭州,6年钻石会员,29.40,34.40万,新上架-准新车
宝马3系 2023款 330i M运动曜夜套装,0.2万公里,未上牌,杭州,6年钻石会员,34.58,41.45万,新上架-准新车
宝马3系 2019款 320i M运动套装,6.1万公里,2019-03,杭州,6年钻石会员,17.88,33.63万,新上架-4S店直卖
宝马5系新能源 2022款 改款二 535Le 先锋版M运动套装,0.01万公里,未上牌,杭州,6年钻石会员,42.98,58.28万,新上架-准新车
宝马X3 2022款 改款二 xDrive30i 领先型 M曜夜套装,0.01万公里,未上牌,杭州,6年钻石会员,36.88,47.97万,新上架-准新车
宝马3系 2022款 改款 325Li M运动套装,0.01万公里,未上牌,杭州,6年钻石会员,31.50,37.66万,新上架-准新车
宝马3系 2017款 318Li 时尚型,8.6万公里,2017-09,杭州,6年钻石会员,13.88,33.64万,新上架-4S店直卖
宝马5系 2014款 525Li 领先型,8万公里,2015-02,温州,1年黄金会员,18.80,50.65万,新上架
宝马X5(进口) 2020款 xDrive30i X设计套装,6万公里,2020-09,温州,1年黄金会员,53.80,75.97万,新上架-0次过户
宝马3系 2020款 330Li xDrive M运动曜夜套装,3.8万公里,2020-10,温州,1年黄金会员,30.90,44.49万,无
宝马3系 2021款 325Li M运动套装,0.88万公里,2021-07,湖州,3年黄金会员,29.60,37.66万,新上架-准新车
宝马3系 2019款 320i M运动曜夜版,2.7万公里,2019-02,绍兴,6年黄金会员,17.98,36.88万,新上架-0次过户
宝马iX3 2021款 创领型,0.01万公里,未上牌,杭州,6年黄金会员,29.80,47.75万,新上架-准新车
宝马X2 2020款 sDrive25i 领先型M运动套装,3.5万公里,2021-03,杭州,6年黄金会员,16.88,31.46万,新上架-准新车
宝马5系新能源 2021款 535Le M运动套装,1.2万公里,2021-08,杭州,6年黄金会员,37.90,54.26万,新上架-准新车
宝马3系 2021款 325i M运动曜夜套装,2万公里,2021-07,杭州,6年黄金会员,28.90,36.03万,新上架-准新车
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,1.7万公里,2022-01,杭州,6年黄金会员,37.99,47.41万,新上架-准新车
宝马1系 2021款 120i M运动曜夜版,0.7万公里,2021-08,杭州,6年黄金会员,14.39,24.62万,新上架-准新车
宝马3系GT 2017款 330i xDrive M运动型,8.5万公里,2017-11,杭州,6年黄金会员,22.98,56.34万,新上架
宝马5系 2021款 525Li M运动套装,3.5万公里,2021-03,杭州,6年黄金会员,35.80,46.34万,新上架-准新车
宝马M2 2018款 M2,3.6万公里,2018-06,杭州,6年黄金会员,39.30,65.11万,新上架
宝马3系 2021款 320Li M运动套装,1万公里,2022-12,杭州,6年黄金会员,27.99,34.62万,新上架-准新车
宝马3系 2021款 330i M运动曜夜套装,2.2万公里,2021-06,杭州,6年黄金会员,33.90,41.24万,新上架-准新车
宝马iX3 2021款 创领型,3万公里,2021-04,杭州,6年黄金会员,27.80,47.75万,新上架-准新车
宝马5系 2017款 520Li 典雅型,7万公里,2017-05,温州,1年会员,19.80,47.28万,新上架-0次过户
宝马3系 2013款 316i 运动设计套装,9万公里,2013-12,金华,1年黄金会员,9.50,33.65万,新上架-0次过户
宝马2系 2015款 218i,6万公里,2016-01,金华,1年黄金会员,11.50,29.96万,新上架-0次过户
宝马X1 2022款 sDrive25Li 领先型,0.01万公里,未上牌,杭州,6年黄金会员,21.80,33.63万,新上架-准新车
宝马iX3 2022款 创领型,1.6万公里,2021-11,嘉兴,3年钻石会员,31.58,47.75万,新上架-准新车
宝马3系 2021款 325Li M运动曜夜套装,0.9万公里,2021-09,嘉兴,3年钻石会员,32.88,39.72万,新上架-准新车
宝马3系 2022款 330i M运动曜夜套装,0.01万公里,未上牌,嘉兴,3年钻石会员,33.88,40.26万,新上架-准新车
宝马3系 2021款 330Li xDrive M运动曜夜套装,0.15万公里,2022-11,嘉兴,3年钻石会员,36.00,44.49万,新上架-准新车
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,1万公里,2021-10,杭州,6年黄金会员,37.80,47.41万,无
宝马3系GT 2019款 320i 时尚型,5万公里,2019-06,杭州,6年钻石会员,20.80,39.06万,无
宝马X3 2022款 xDrive25i M运动套装,0.7万公里,2022-07,杭州,4年黄金会员,34.80,43.08万,新上架-准新车
宝马6系GT 2019款 630i 豪华设计套装,5.1万公里,2019-04,杭州,4年黄金会员,38.80,63.38万,新上架-0次过户
宝马X3 2018款 xDrive25i M运动套装 国V,6万公里,2018-07,杭州,6年钻石会员,25.90,43.40万,无
宝马X1 2014款 sDrive18i 时尚型,10万公里,2014-09,杭州,6年钻石会员,7.98,30.94万,新上架
宝马iX3 2022款 创领型,0.64万公里,2021-09,杭州,5年黑金会员,33.88,47.75万,新上架-准新车
宝马8系 2022款 840i xDrive 四门轿跑车 M运动套装,0.01万公里,未上牌,杭州,5年黑金会员,118.80,117.01万,准新车-4S店直卖
宝马X5(进口) 2014款 xDrive35i 领先型,15万公里,2015-06,宁波,3年钻石会员,26.80,99.65万,无
宝马2系 2018款 225i 敞篷轿跑车 尊享型 M运动套装,6.6万公里,2017-12,宁波,3年钻石会员,19.50,40.57万,无
宝马5系 2018款 改款 530Li 领先型 M运动套装,6.2万公里,2018-08,宁波,3年钻石会员,31.00,51.77万,无
